URL,Type of property,Terrace,Open fire,Price,Garden Area,Surface of the land,Terrace Area,Number of rooms,Subtype of property,Fully equipped kitchen,State of the building,Locality,Living Area,Number of facades,Surface area of the plot of land,Swimming pool,Garden,Furnished
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/perwez/1360/20298547,L'Orée de Seumay,,,From385000To436000,,,,,L'Orée de Seumay,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/jabbeke/8490/20300024,,,,395815,,,,,,,,8490 Jabbeke,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lierde/9570/20294370,Gentse Steenweg 27 - Lierde,,,From398175To431925,,,,,Gentse Steenweg 27 - Lierde,,,9570 Lierde,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/deinze-astene/9800/20294371,Hof Pattyn,,,From435000To446000,,,,,Hof Pattyn,,,9800 Deinze Astene,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/merelbeke/9820/20300026,,,,439778,,,,,,,,9820 Merelbeke,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gentbrugge/9050/20297364,Rode Kruisstraat - Gentbrugge,,,From467000To547500,,,,,Rode Kruisstraat - Gentbrugge,,,9050 Gentbrugge,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/sint-denijs-westrem/9051/20297117,,,,469000,,,,,,,,9051 Sint-Denijs-Westrem,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/melle/9090/20300030,,,,From487000To492000,,,,,,,,9090 Melle,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ixelles/1050/20299369,Spring Gardens - Maisons,,,From1200000To1375000,,,,,Spring Gardens - Maisons,,,1050 Ixelles,,,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/antwerpen/2060/20304815,Mansion,,,499000,92,,,5,Mansion,Installed,Good,2060 ANTWERPEN,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20316718,House,,,179000,,,,5,House,,To renovate,8570 Anzegem,,2,,,,No
