URL,Subtype of property,Number of facades,Number of rooms,Price,Living Area,State of the building,Furnished,Terrace,Open fire,Terrace Area,Surface area of the plot of land,Swimming pool,Garden Area,Surface of the land,Garden,Locality,Type of property,Fully equipped kitchen
https://www.immoweb.be/en/classified/house/for-sale/boutersem-roosbeek/3370/20300627,House,2,3,309000,,To be done up,,,,,,,,,,3370 Boutersem Roosbeek,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/awans-othee/4340/20298647,House,4,2,429000,,Good,No,,,23,,,900,,,4340 Awans Oth�e,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/hulshout-houtvenne/2235/20300865,House,3,3,449000,,As new,,Yes,,,,,,,,2235 Hulshout Houtvenne,House,Hyper equipped
https://www.immoweb.be/en/classified/villa/for-sale/wellen/3830/20301921,Villa,,3,465000,,,,,,4,,,,,,3830 Wellen,Villa,
https://www.immoweb.be/en/classified/mansion/for-sale/brugge/8000/20301027,Mansion,4,4,849000,,As new,,Yes,,,,,,,,8000 Brugge,Mansion,
https://www.immoweb.be/en/classified/villa/for-sale/lubbeek/3210/20300123,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/pellenberg/3212/20300124,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/bissegem/8501/20302550,House,,3,995000,,As new,No,,,50,,,,,,8501 Bissegem,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20302150,House,2,4,999000,,As new,,,,,,,52,,,9000 Gent,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20282979,House,2,5,129900,,To be done up,No,,,,,,,,,4101 Seraing,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20242467,House,2,3,249000,,As new,No,,,33,,,,,,4020 Li�ge,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/20281916,House,3,4,249000,,Good,No,,,23,,,94,,,4040 Herstal,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/oupeye/4680/20209912,House,2,6,299000,,Good,No,,,26,,,320,,,4680 Oupeye,House,Installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/ronse/9600/20186877,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20279134,House,3,3,310000,,Good,No,,,27,,,102,,,4100 Seraing,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/rouvroy/6767/20283698,House,4,4,330000,,Good,,,,20,,,1000,,,6767 Rouvroy,House,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20283827,House,2,5,360000,,Good,No,,,80,,,134,,,4101 Seraing,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20250458,House,4,4,490000,,Good,No,,,25,,,900,,,1390 Grez-Doiceau,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20268788,House,2,4,550000,,To renovate,No,,,12,,,60,,,1180 Uccle,House,Not installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ixelles/1050/20272055,Mixed-use building,2,3,1145000,,Just renovated,Yes,Yes,,,,,,,,1050 Ixelles,Mixed-use building,Hyper equipped
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/saint-gilles/1060/20272057,Mixed-use building,2,3,1145000,,Just renovated,Yes,Yes,,,,,,,,1060 Saint-Gilles,Mixed-use building,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/20158264,House,2,4,169000,,To renovate,No,,,22,,,70,,,4040 Herstal,House,Not installed
