URL,Terrace Area,Living Area,State of the building,Price,Swimming pool,Type of property,Open fire,Furnished,Terrace,Garden,Number of facades,Number of rooms,Subtype of property,Fully equipped kitchen,Locality,Garden Area,Surface of the land,Surface area of the plot of land
https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/20311823,20,,As new,565000,,House,,No,,,4,3,House,Hyper equipped,,525,,
https://www.immoweb.be/en/classified/house/for-sale/lot/1651/20295362,,,To be done up,225000,,House,,No,,,2,1,House,,1651 Lot,,,
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20295230,,,As new,249000,,House,,,,,2,3,House,Installed,9500 GERAARDSBERGEN,,,
https://www.immoweb.be/en/classified/house/for-sale/dentergem/8720/20295267,,,Good,265000,,House,,,,,3,3,House,,8720 Dentergem,,,
https://www.immoweb.be/en/classified/house/for-sale/marchin/4570/20295154,40,,As new,365000,,House,,,,,4,3,House,Installed,4570 Marchin,,,
https://www.immoweb.be/en/classified/house/for-sale/zedelgem/8210/20294714,,,As new,379000,,House,,,Yes,,4,3,House,Hyper equipped,8210 Zedelgem,,,
https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20296989,,,Good,388300,,House,,,Yes,,,4,House,,8760 Meulebeke,,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/aiseau-presles/6250/20294169,100,,As new,699000,,Exceptional property,,No,,,3,4,Exceptional property,Hyper equipped,6250 Aiseau-Presles,,,
https://www.immoweb.be/en/classified/house/for-sale/moerbeke/9180/20309272,64,,Good,590000,,House,,,,,4,4,House,Installed,9180 Moerbeke,982,,
https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/20158069,12,,As new,592796,,House,,,,,3,4,House,Installed,3000 Leuven,73,,
https://www.immoweb.be/en/classified/villa/for-sale/braine-lalleud/1420/20301237,,,,699000,,Villa,,Yes,Yes,,4,3,Villa,Installed,1420 BRAINE-L'ALLEUD,,,
https://www.immoweb.be/en/classified/villa/for-sale/lillois-witterzee/1428/20301238,,,,699000,,Villa,,Yes,Yes,,4,3,Villa,Installed,1428 LILLOIS-WITTERZÉE,,,
https://www.immoweb.be/en/classified/house/for-sale/kontich/2550/20301883,50,,,795000,,House,,No,,,4,3,House,Hyper equipped,2550 Kontich,1000,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1020/20301413,2,,As new,820000,,Apartment block,,No,,,2,6,Apartment block,Installed,1020 Bruxelles,55,,
https://www.immoweb.be/en/classified/villa/for-sale/sint-martens-latem/9830/20300190,,,To renovate,1995000,,Villa,,No,,,,5,Villa,Installed,9830 Sint-Martens-Latem,,,
https://www.immoweb.be/en/classified/house/for-sale/bievre/5555/20250684,,,To be done up,170000,,House,,No,,,3,4,House,Installed,5555 Bièvre,200,,
https://www.immoweb.be/en/classified/house/for-sale/gedinne-rienne/5575/20237241,,,Good,199000,,House,,No,Yes,,3,3,House,Installed,5575 Gedinne Rienne,1160,,
https://www.immoweb.be/en/classified/house/for-sale/erquelinnes/6560/20276322,,,As new,199000,,House,,,,,3,3,House,,6560 Erquelinnes,,,
https://www.immoweb.be/en/classified/house/for-sale/amay/4540/20271566,36,,Good,219000,,House,,No,,,4,3,House,Hyper equipped,4540 Amay,50,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20283572,3,,Good,229000,,House,,No,,,2,3,House,Semi equipped,4000 Liège,200,,
https://www.immoweb.be/en/classified/house/for-sale/westende/8434/20214547,,,Just renovated,235000,,House,,Yes,Yes,,,3,House,,8434 Westende,,,
https://www.immoweb.be/en/classified/bungalow/for-sale/hamoir/4180/20245995,,,To renovate,239000,,Bungalow,,No,Yes,,4,3,Bungalow,Installed,4180 Hamoir,,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20284887,,,Just renovated,239000,,House,,,Yes,,2,3,House,Installed,9600 RONSE,,,
https://www.immoweb.be/en/classified/house/for-sale/rochefort/5580/20271481,,,Just renovated,249000,,House,,,Yes,,2,3,House,Installed,5580 Rochefort,362,,
https://www.immoweb.be/en/classified/house/for-sale/oostkamp/8020/20285376,,,To renovate,265000,,House,,No,,,,3,House,,8020 Oostkamp,,,
https://www.immoweb.be/en/classified/house/for-sale/juprelle/4450/20249963,60,,Good,269000,,House,,No,,,2,4,House,Installed,4450 Juprelle,280,,
https://www.immoweb.be/en/classified/house/for-sale/chastre-villeroux-blanmont/1450/20234512,36,,To renovate,275000,,House,,No,,,4,6,House,Semi equipped,1450 Chastre-villeroux-blanmont,151,,
https://www.immoweb.be/en/classified/house/for-sale/juprelle/4450/20260561,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/ohey/5350/20256645,20,,Good,349500,,House,,No,,,4,3,House,Installed,5350 Ohey,1500,,
https://www.immoweb.be/en/classified/house/for-sale/huy/4500/20232446,30,,As new,369500,,House,,No,,,4,3,House,Installed,4500 HUY,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/zele/9240/20282522,,,To be done up,379000,,Mixed-use building,,,Yes,,,6,Mixed-use building,,9240 ZELE,,,
https://www.immoweb.be/en/classified/house/for-sale/beernem/8730/20285382,,,Good,393000,,House,,,,,,5,House,,8730 Beernem,,,
https://www.immoweb.be/en/classified/house/for-sale/lint/2547/20258996,1square meter,,To be done up,395000,,House,,,,,3,4,House,Semi equipped,2547 Lint,290,,
https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/20223905,,,As new,439000,,House,,No,Yes,,3,3,House,Hyper equipped,1790 Affligem,270,,
https://www.immoweb.be/en/classified/house/for-sale/ittre-virginal/1460/20265695,,,Good,440000,,House,,No,,,3,3,House,,1460 Ittre (Virginal),,,
https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20265794,,,Good,449000,,House,,No,Yes,,3,4,House,Installed,1700 Dilbeek,350,,
https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/20251674,,,As new,465000,,House,,No,Yes,,2,4,House,Installed,9420 Erpe-Mere,,,
https://www.immoweb.be/en/classified/house/for-sale/la-hulpe/1310/20129937,25,,Good,489000,,House,,No,,,4,3,House,Installed,1310 La Hulpe,300,,
https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/20206120,25,,Good,515000,,House,,No,,,2,3,House,Semi equipped,1170 Watermael-Boitsfort,,,
https://www.immoweb.be/en/classified/town-house/for-sale/zaventem/1932/20219998,,,As new,598000,,Town-house,,,Yes,,3,4,Town-house,Hyper equipped,1932 Zaventem,,,
https://www.immoweb.be/en/classified/house/for-sale/zelzate/9060/20208253,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/bungalow/for-sale/sint-kruis/8310/20283945,25,,To renovate,625000,,Bungalow,,No,,,4,5,Bungalow,Installed,8310 Sint-Kruis,2070,,
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20246583,10,,To renovate,649000,,House,,No,,,4,10,House,Installed,1390 Grez-Doiceau,,,
